-0.03429  0.18295 -0.46900
-0.17515 -0.37676  0.06927
-0.29839  0.04571  0.22383
-0.34305  0.10908 -0.04494
-0.08167 -0.31685  0.07422
-0.17267 -0.32189  0.01256
-0.30955 -0.05846  0.16519
-0.19931  0.18585 -0.19353
-0.20598  0.34034 -0.17631
-0.30493  0.25283 -0.11729
-0.24248 -0.24920 -0.25391
-0.19328 -0.13827 -0.45296
-0.34812 -0.17836 -0.03982
-0.27567 -0.05864  0.28601
 0.25354 -0.16500 -0.31969
-0.11631 -0.06624  0.08685
-0.12858  0.01022 -0.05358
 0.16375 -0.10001 -0.21880
-0.09405 -0.29953 -0.30660
-0.17507  0.37544 -0.01860
